CategoryID	CategoryCode	ParentCategoryCode	CategoryName	CategoryOKPD2	AttributeID	AttributeName	AttributeType								
57384	1025713	1025710	Присадки к смазочным материалам моюще-диспергирующие	20.59.42.130	416	Тип	Строковый								
57384	1025713	1025710	Присадки к смазочным материалам моюще-диспергирующие	20.59.42.130	417	Марка	Строковый								
57384	1025713	1025710	Присадки к смазочным материалам моюще-диспергирующие	20.59.42.130	418	Назначение	Строковый								
57387	1025714	1025710	Присадки к смазочным материалам противозадирные, противоизносные	20.59.42.130	419	Тип	Строковый								
57387	1025714	1025710	Присадки к смазочным материалам противозадирные, противоизносные	20.59.42.130	420	Марка	Строковый								
57387	1025714	1025710	Присадки к смазочным материалам противозадирные, противоизносные	20.59.42.130	421	Назначение	Строковый								
57383	1025715	1025710	Присадки к смазочным материалам депрессорные	20.59.42.130	422	Тип	Строковый								
57383	1025715	1025710	Присадки к смазочным материалам депрессорные	20.59.42.130	423	Марка	Строковый								
57383	1025715	1025710	Присадки к смазочным материалам депрессорные	20.59.42.130	424	Назначение	Строковый								
57382	1025716	1025710	Присадки к смазочным материалам вязкостные	20.59.42.130	425	Тип	Строковый								
57382	1025716	1025710	Присадки к смазочным материалам вязкостные	20.59.42.130	426	Марка	Строковый								
57382	1025716	1025710	Присадки к смазочным материалам вязкостные	20.59.42.130	427	Назначение	Строковый								
57381	1025717	1025710	Присадки к смазочным материалам противопенные	20.59.42.130	428	Тип	Строковый								
57381	1025717	1025710	Присадки к смазочным материалам противопенные	20.59.42.130	429	Марка	Строковый								
57381	1025717	1025710	Присадки к смазочным материалам противопенные	20.59.42.130	430	Назначение	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	431	Тип	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	432	Марка	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	278694	Обозначение	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	433	Назначение	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	278693	Массовые доли	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	278692	Щелочное число	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	278691	Вязкость	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	278689	Показатель активности	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	278690	Температура вспышки	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	278688	Класс токсичности	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	278687	Внешний вид	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	278686	Дополнительные сведения	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	278685	Артикул	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	278684	Стандарт	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	278683	ТУ	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	278682	Производитель	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	278681	Страна производителя	Строковый								
57380	1025719	1025710	Присадки к смазочным материалам прочие	20.59.42.130	278680	ОГРН	Числовой								
7203	1238304	1238300	Соли от накипи для посудомоечных машин (не использовать)	20.41.32.119	211028	Марка	Строковый								
7203	1238304	1238300	Соли от накипи для посудомоечных машин (не использовать)	20.41.32.119	211027	Вес	Строковый								
7203	1238304	1238300	Соли от накипи для посудомоечных машин (не использовать)	20.41.32.119	211029	Описание	Строковый								
2975	1127700	1127000	Сетка стальная нержавеющая	25.93.13.112	306006	Диаметр проволоки	Числовой								
2975	1127700	1127000	Сетка стальная нержавеющая	25.93.13.112	306127	Размер рулона	Числовой								
2975	1127700	1127000	Сетка стальная нержавеющая	25.93.13.112	2163	Стандарт	Строковый								
2975	1127700	1127000	Сетка стальная нержавеющая	25.93.13.112	306126	ТУ	Строковый								
33852	1216345	1216340	Цеолиты природные	20.59.59.900	244101	Фракция	Строковый								
33852	1216345	1216340	Цеолиты природные	20.59.59.900	244100	Описание	Строковый								
33851	1216349	1216340	Цеолиты синтетические	20.59.59.900	304321	Тип	Строковый								
33851	1216349	1216340	Цеолиты синтетические	20.59.59.900	225424	Обозначение	Строковый								
33851	1216349	1216340	Цеолиты синтетические	20.59.59.900	228048	Размер гранул	Строковый								
33851	1216349	1216340	Цеолиты синтетические	20.59.59.900	304320	Упаковка	Строковый								
33851	1216349	1216340	Цеолиты синтетические	20.59.59.900	225423	Вес	Строковый								
33851	1216349	1216340	Цеолиты синтетические	20.59.59.900	292168	Производитель	Строковый								
33851	1216349	1216340	Цеолиты синтетические	20.59.59.900	225425	Стандарт	Строковый								
33851	1216349	1216340	Цеолиты синтетические	20.59.59.900	292169	ТУ	Строковый								
33861	1216352	1216350	Коагулянты	20.59.59.900	291919	Торговая марка	Строковый								
33861	1216352	1216350	Коагулянты	20.59.59.900	291918	Упаковка	Строковый								
33861	1216352	1216350	Коагулянты	20.59.59.900	291917	Вес	Строковый								
33861	1216352	1216350	Коагулянты	20.59.59.900	291916	ТУ	Строковый								
33863	1216354	1216350	Алюминия гидроксохлорид	20.59.59.900	209576	Марка	Строковый								
33863	1216354	1216350	Алюминия гидроксохлорид	20.59.59.900	209575	Описание	Строковый								
33863	1216354	1216350	Алюминия гидроксохлорид	20.59.59.900	246790	Стандарт 	Строковый								
33840	1216491	1216490	Сорбенты гранулированные	20.59.59.900	222795	Тип	Строковый								
33840	1216491	1216490	Сорбенты гранулированные	20.59.59.900	270674	Обозначение	Строковый								
33840	1216491	1216490	Сорбенты гранулированные	20.59.59.900	270673	Фракция	Строковый								
33840	1216491	1216490	Сорбенты гранулированные	20.59.59.900	270675	Цвет	Строковый								
33840	1216491	1216490	Сорбенты гранулированные	20.59.59.900	270676	Назначение	Строковый								
33840	1216491	1216490	Сорбенты гранулированные	20.59.59.900	222794	Упаковка	Строковый								
33840	1216491	1216490	Сорбенты гранулированные	20.59.59.900	298887	Артикул	Строковый								
33840	1216491	1216490	Сорбенты гранулированные	20.59.59.900	303746	Стандарт	Строковый								
33840	1216491	1216490	Сорбенты гранулированные	20.59.59.900	298886	ТУ	Строковый								
33840	1216491	1216490	Сорбенты гранулированные	20.59.59.900	222793	Описание	Строковый								
33840	1216491	1216490	Сорбенты гранулированные	20.59.59.900	303745	Производитель	Строковый								
33840	1216491	1216490	Сорбенты гранулированные	20.59.59.900	303744	Страна производителя	Строковый								
33840	1216491	1216490	Сорбенты гранулированные	20.59.59.900	303743	ОГРН	Строковый								
33837	1216494	1216490	Биосорбенты	20.59.59.900	230017	Марка	Строковый								
33837	1216494	1216490	Биосорбенты	20.59.59.900	230021	Тип	Строковый								
33837	1216494	1216490	Биосорбенты	20.59.59.900	230022	Объем	Строковый								
33837	1216494	1216490	Биосорбенты	20.59.59.900	230023	Стандарт	Строковый								
33837	1216494	1216490	Биосорбенты	20.59.59.900	230024	Дополнительная информация	Строковый								
33833	1216513	1216510	Поглотители ГИАП	20.59.59.900	6187	Марка	Строковый								
33833	1216513	1216510	Поглотители ГИАП	20.59.59.900	6188	"Номинальный расход воздуха; м3/ч"	Числовой								
33831	1216521	1216520	Поглотитель химический известковый ХП-И	20.59.59.900	6189	Марка	Строковый								
33831	1216521	1216520	Поглотитель химический известковый ХП-И	20.59.59.900	6190	Номинальный расход воздуха	Числовой								
33831	1216521	1216520	Поглотитель химический известковый ХП-И	20.59.59.900	246762	Стандарт	Строковый								
33832	1216531	1216530	Поглотитель химический (купрамит) мелкий	20.59.59.900	6191	Марка	Строковый								
33832	1216531	1216530	Поглотитель химический (купрамит) мелкий	20.59.59.900	6192	"Номинальный расход воздуха; м3/ч"	Числовой								
33836	1216591	1216590	Поглотители УП	20.59.59.900	6193	Марка	Строковый								
33836	1216591	1216590	Поглотители УП	20.59.59.900	6194	"Номинальный расход воздуха; м3/ч"	Числовой								
33835	1216593	1216590	Поглотители ХПР	20.59.59.900	6195	Марка	Строковый								
33835	1216593	1216590	Поглотители ХПР	20.59.59.900	6196	"Номинальный расход воздуха; м3/ч"	Числовой								
33829	1216911	1216910	Наполнитель алюмосиликатный	20.59.59.900	6197	Обозначение	Строковый								
33829	1216911	1216910	Наполнитель алюмосиликатный	20.59.59.900	6198	Применение	Строковый								
33828	1216912	1216910	Актинап	20.59.59.900	6199	Тип	Строковый								
33828	1216912	1216910	Актинап	20.59.59.900	6200	Марка	Строковый								
33827	1216913	1216910	Цеосилы	20.59.59.900	6201	Тип	Строковый								
33827	1216913	1216910	Цеосилы	20.59.59.900	6202	Сорт	Строковый								
33826	1216914	1216910	Силикаты наполнители	20.59.59.900	6203	Обозначение	Строковый								
33826	1216914	1216910	Силикаты наполнители	20.59.59.900	6204	Применение	Строковый								
33825	1216916	1216910	Наполнители на основе сланцев	20.59.59.900	6205	Обозначение	Строковый								
33825	1216916	1216910	Наполнители на основе сланцев	20.59.59.900	6206	Применение	Строковый								
33823	1216921	1216920	Микробарит	20.59.59.900	6207	Тип	Строковый								
33823	1216921	1216920	Микробарит	20.59.59.900	6208	Применение	Строковый								
33823	1216921	1216920	Микробарит	20.59.59.900	6209	Состав	Строковый								
33822	1216929	1216920	Наполнители неактивные прочие	20.59.59.900	302212	Тип	Строковый								
33822	1216929	1216920	Наполнители неактивные прочие	20.59.59.900	6212	Обозначение	Строковый								
33822	1216929	1216920	Наполнители неактивные прочие	20.59.59.900	6213	Применение	Строковый								
33822	1216929	1216920	Наполнители неактивные прочие	20.59.59.900	302211	Состав	Строковый								
33822	1216929	1216920	Наполнители неактивные прочие	20.59.59.900	302210	Вес	Строковый								
59133	1225736	1225730	Пасты (на основе кремнийорганических смол)	20.59.41.000	292477	Вид	Строковый								
59133	1225736	1225730	Пасты (на основе кремнийорганических смол)	20.59.41.000	292476	Обозначение	Строковый								
59133	1225736	1225730	Пасты (на основе кремнийорганических смол)	20.59.41.000	292470	Тип	Строковый								
59133	1225736	1225730	Пасты (на основе кремнийорганических смол)	20.59.41.000	292475	Назначение	Строковый								
59133	1225736	1225730	Пасты (на основе кремнийорганических смол)	20.59.41.000	293287	Пенетрация	Строковый								
59133	1225736	1225730	Пасты (на основе кремнийорганических смол)	20.59.41.000	293286	Массовая доля воды	Строковый								
59133	1225736	1225730	Пасты (на основе кремнийорганических смол)	20.59.41.000	301613	Стандарт	Строковый								
59133	1225736	1225730	Пасты (на основе кремнийорганических смол)	20.59.41.000	292474	ТУ	Строковый								
59133	1225736	1225730	Пасты (на основе кремнийорганических смол)	20.59.41.000	292473	Производитель	Строковый								
59133	1225736	1225730	Пасты (на основе кремнийорганических смол)	20.59.41.000	292471	Страна производителя	Строковый								
59133	1225736	1225730	Пасты (на основе кремнийорганических смол)	20.59.41.000	292472	ОГРН	Строковый								
19131	1225901	1225900	Пластики холодные	22.29.29.190	232699	Тип	Строковый								
19131	1225901	1225900	Пластики холодные	22.29.29.190	232700	Цвет	Строковый								
19131	1225901	1225900	Пластики холодные	22.29.29.190	232701	Описание	Строковый								
19131	1225901	1225900	Пластики холодные	22.29.29.190	232702	Стандарт	Строковый								
51872	1225921	1225920	Материалы на основе полиэтилентерефталата	22.29.29.190	282493	Тип	Строковый								
51872	1225921	1225920	Материалы на основе полиэтилентерефталата	22.29.29.190	282492	Модель	Строковый								
